Epoch 59 :(mp, mr, map50, map ,*Loss )     0.6352      0.5372       0.572      0.3213           0           0           0 
Epoch 60 :(mp, mr, map50, map ,*Loss )     0.6528      0.5031      0.5563      0.3054           0           0           0 
Epoch 61 :(mp, mr, map50, map ,*Loss )     0.6138      0.5332      0.5543      0.3002           0           0           0 
Epoch 62 :(mp, mr, map50, map ,*Loss )     0.6424      0.4841      0.5464      0.3001           0           0           0 
Epoch 63 :(mp, mr, map50, map ,*Loss )     0.7165      0.4666       0.566      0.3041           0           0           0 
Epoch 64 :(mp, mr, map50, map ,*Loss )     0.6069      0.5429      0.5654        0.31           0           0           0 
Epoch 65 :(mp, mr, map50, map ,*Loss )     0.6504       0.539      0.5835      0.3247           0           0           0 
Epoch 66 :(mp, mr, map50, map ,*Loss )     0.5932      0.5999      0.5938      0.3362           0           0           0 
Epoch 67 :(mp, mr, map50, map ,*Loss )     0.6122      0.5177       0.549      0.3056           0           0           0 
Epoch 68 :(mp, mr, map50, map ,*Loss )     0.6046      0.5436      0.5545      0.3081           0           0           0 
Epoch 69 :(mp, mr, map50, map ,*Loss )     0.6869      0.5336      0.5758      0.3225           0           0           0 
Epoch 70 :(mp, mr, map50, map ,*Loss )      0.609      0.5646      0.5853      0.3233           0           0           0 
Epoch 71 :(mp, mr, map50, map ,*Loss )      0.667      0.5628      0.6021      0.3372           0           0           0 
Epoch 72 :(mp, mr, map50, map ,*Loss )     0.6536      0.5312      0.5752      0.3228           0           0           0 
Epoch 73 :(mp, mr, map50, map ,*Loss )     0.6825      0.5507      0.5937      0.3311           0           0           0 
Epoch 74 :(mp, mr, map50, map ,*Loss )     0.6823      0.5555      0.6031      0.3386           0           0           0 
Epoch 75 :(mp, mr, map50, map ,*Loss )     0.6843      0.5527      0.5876       0.326           0           0           0 
Epoch 76 :(mp, mr, map50, map ,*Loss )     0.6897      0.5418      0.5896      0.3295           0           0           0 
Epoch 77 :(mp, mr, map50, map ,*Loss )     0.7058      0.5317       0.599      0.3348           0           0           0 
Epoch 78 :(mp, mr, map50, map ,*Loss )     0.6573      0.5416      0.5906      0.3298           0           0           0 
Epoch 79 :(mp, mr, map50, map ,*Loss )     0.5884      0.6058       0.599      0.3362           0           0           0 
Epoch 80 :(mp, mr, map50, map ,*Loss )     0.6927      0.5253      0.5991      0.3388           0           0           0 
Epoch 81 :(mp, mr, map50, map ,*Loss )     0.6548      0.5749      0.5953      0.3393           0           0           0 
Epoch 82 :(mp, mr, map50, map ,*Loss )     0.6833      0.5449      0.5891      0.3363           0           0           0 
Epoch 83 :(mp, mr, map50, map ,*Loss )     0.6477      0.5629      0.5874      0.3383           0           0           0 
Epoch 84 :(mp, mr, map50, map ,*Loss )     0.6681      0.5449      0.5887      0.3306           0           0           0 
Epoch 85 :(mp, mr, map50, map ,*Loss )     0.6416      0.5491      0.5844      0.3377           0           0           0 
Epoch 86 :(mp, mr, map50, map ,*Loss )     0.7056      0.5422      0.6043       0.346           0           0           0 
Epoch 87 :(mp, mr, map50, map ,*Loss )     0.6558      0.5588      0.5958      0.3485           0           0           0 
Epoch 88 :(mp, mr, map50, map ,*Loss )     0.6762      0.5644      0.6091      0.3555           0           0           0 
Epoch 89 :(mp, mr, map50, map ,*Loss )      0.636      0.5812      0.6078      0.3457           0           0           0 
Epoch 90 :(mp, mr, map50, map ,*Loss )     0.6341      0.5879      0.5905      0.3393           0           0           0 
Epoch 91 :(mp, mr, map50, map ,*Loss )      0.668      0.5422      0.5888      0.3316           0           0           0 
Epoch 92 :(mp, mr, map50, map ,*Loss )     0.7345      0.5282      0.6139      0.3478           0           0           0 
Epoch 93 :(mp, mr, map50, map ,*Loss )     0.6853      0.5594      0.6094      0.3536           0           0           0 
Epoch 94 :(mp, mr, map50, map ,*Loss )     0.6884      0.5596      0.5992       0.346           0           0           0 
Epoch 95 :(mp, mr, map50, map ,*Loss )     0.6703      0.5541      0.5958      0.3468           0           0           0 
Epoch 96 :(mp, mr, map50, map ,*Loss )     0.7347      0.5455      0.6056      0.3537           0           0           0 
Epoch 97 :(mp, mr, map50, map ,*Loss )     0.6601      0.5759      0.6065      0.3534           0           0           0 
Epoch 98 :(mp, mr, map50, map ,*Loss )     0.6751       0.565      0.6149      0.3586           0           0           0 
Epoch 99 :(mp, mr, map50, map ,*Loss )     0.6081      0.6209      0.6074      0.3551           0           0           0 
